datetime,open,high,low,close,volume
2025-04-02 10:55:00,120000.0,120000.0,86414.76,86678.19,0.39914
2025-04-02 10:56:00,86678.19,86700.26,86178.88,86695.98,3.38853
2025-04-02 10:57:00,86695.98,86699.48,86403.03,86684.85,1.70471
2025-04-02 10:58:00,86670.21,86670.21,86629.29,86629.29,0.6017
2025-04-02 10:59:00,86628.47,86628.47,86602.0,86622.73,2.14509
2025-04-02 11:00:00,86629.02,87045.01,86614.7,86660.0,2.30456
2025-04-02 11:01:00,86650.02,86650.02,86632.0,86633.11,1.61057
2025-04-02 11:02:00,86639.72,86677.02,86111.46,86677.02,4.70379
2025-04-02 11:03:00,86677.02,86686.66,86644.9,86644.9,2.35459
2025-04-02 11:04:00,86616.68,86627.16,86605.17,86606.33,1.35086
2025-04-02 11:05:00,86615.39,86615.39,86486.12,86486.12,4.33109
2025-04-02 11:06:00,86536.76,86536.76,86428.88,86459.28,3.49569
2025-04-02 11:07:00,86459.28,86505.32,86427.03,86447.53,2.33836
2025-04-02 11:08:00,86447.53,86506.0,86447.53,86481.11,3.11908
2025-04-02 11:09:00,86481.11,86494.61,86425.56,86494.61,3.27455
2025-04-02 11:10:00,86494.74,86496.0,86424.7,86430.01,2.133
2025-04-02 11:11:00,86438.0,86439.16,86423.83,86423.83,3.34393
2025-04-02 11:12:00,86396.2,86483.98,86396.14,86479.1,3.82967
2025-04-02 11:13:00,86479.1,86568.23,86479.1,86568.23,3.34111
2025-04-02 11:14:00,86568.23,86570.49,86552.01,86552.01,2.3277
2025-04-02 11:15:00,86552.01,86553.48,86532.01,86533.49,1.12754
2025-04-02 11:16:00,86532.02,86532.02,86506.84,86506.84,1.46894
2025-04-02 11:17:00,86493.32,86493.32,86481.87,86490.91,1.87499
2025-04-02 11:18:00,86485.35,86493.39,86476.0,86478.21,1.85606
2025-04-02 11:19:00,86478.21,86935.03,86451.99,86460.0,3.37333
2025-04-02 11:20:00,86441.38,86446.64,86432.16,86441.58,2.01324
2025-04-02 11:21:00,86436.0,86455.14,85918.62,86429.0,3.54826
2025-04-02 11:22:00,86425.87,89811.88,86425.83,86485.64,2.4293
2025-04-02 11:23:00,86485.64,86488.32,86333.66,86480.6,2.73496
2025-04-02 11:24:00,86456.54,86456.54,86414.98,86414.98,2.94426
2025-04-02 11:25:00,86397.85,86410.97,86396.14,86398.47,3.44317
2025-04-02 11:26:00,86398.47,86476.45,86393.37,86393.37,3.65239
2025-04-02 11:27:00,86471.99,86472.0,86427.01,86427.01,2.48781
2025-04-02 11:28:00,86420.33,86420.36,86386.58,86386.58,2.57116
2025-04-02 11:29:00,86300.02,86300.03,86274.05,86274.05,1.52018
2025-04-02 11:30:00,86274.05,86293.79,86230.57,86230.57,1.60518
2025-04-02 11:31:00,86230.57,86297.76,85714.99,86274.62,3.18672
2025-04-02 11:32:00,86274.62,86303.89,86274.62,86283.05,2.13421
2025-04-02 11:33:00,86283.05,86337.92,86283.05,86324.59,2.14676
2025-04-02 11:34:00,86330.64,86356.11,86330.64,86342.57,2.6945
2025-04-02 11:35:00,86342.57,86366.11,86333.49,86336.61,1.98705
2025-04-02 11:36:00,86336.61,86343.96,86306.76,86306.76,4.42004
2025-04-02 11:37:00,86324.02,86333.77,86292.22,86333.77,4.72997
2025-04-02 11:38:00,86330.23,86500.0,77697.0,86500.0,4.3925
2025-04-02 11:39:00,86500.01,86532.01,86499.98,86532.01,3.39903
2025-04-02 11:40:00,86526.72,86535.41,86518.67,86535.38,2.21454
2025-04-02 11:41:00,86535.8,86579.83,86526.01,86579.83,4.48556
2025-04-02 11:42:00,86579.83,86629.16,86579.82,86629.16,2.66285
2025-04-02 11:43:00,86628.01,86630.01,86573.43,86573.43,2.94118
2025-04-02 11:44:00,86557.61,86630.0,86557.48,86580.57,2.01259
2025-04-02 11:45:00,86580.57,86582.0,86561.76,86582.0,2.51367
2025-04-02 11:46:00,86582.0,90000.0,86563.89,86611.3,4.10167
2025-04-02 11:47:00,86611.31,86611.31,86524.51,86572.13,0.93178
2025-04-02 11:48:00,86572.12,86611.25,86572.12,86586.0,3.67661
2025-04-02 11:49:00,86587.21,86589.57,86569.98,86569.98,2.56214
2025-04-02 11:50:00,86569.98,86619.37,86345.23,86573.85,3.59474
2025-04-02 11:51:00,86573.85,86573.85,86479.34,86501.99,2.58907
2025-04-02 11:52:00,86501.99,86514.28,86496.5,86500.92,3.23143
2025-04-02 11:53:00,86500.92,86533.55,86497.18,86533.55,4.8578
2025-04-02 11:54:00,86533.55,86538.96,85635.04,86533.99,3.41182
2025-04-02 11:55:00,86533.99,86534.11,69200.04,86460.39,2.61453
2025-04-02 11:56:00,86460.4,86460.4,86442.33,86442.33,1.34819
2025-04-02 11:57:00,86442.35,86449.36,86439.05,86449.36,2.02579
2025-04-02 11:58:00,86449.36,86449.36,86443.97,86447.68,0.90938
2025-04-02 11:59:00,86447.68,86447.68,86289.09,86292.3,3.11215
2025-04-02 12:00:00,86305.59,86369.28,86280.48,86369.09,3.21512
2025-04-02 12:01:00,86369.09,86369.4,86348.56,86348.56,3.46079
2025-04-02 12:02:00,86348.56,86358.73,86324.49,86358.73,3.1643
2025-04-02 12:03:00,86359.92,86381.11,86359.92,86381.11,4.02958
2025-04-02 12:04:00,86384.02,86425.54,86383.97,86423.01,4.7068
2025-04-02 12:05:00,86421.22,86421.22,86387.7,86387.7,2.11529
2025-04-02 12:06:00,86378.0,86396.86,86359.61,86396.86,4.17769
2025-04-02 12:07:00,86394.23,86394.23,86334.51,86335.0,4.28876
2025-04-02 12:08:00,86335.0,86335.0,86182.09,86304.55,4.50837
2025-04-02 12:09:00,86304.0,86319.55,86297.96,86297.96,3.99818
2025-04-02 12:10:00,86311.99,86330.06,86255.5,86255.5,3.89647
2025-04-02 12:11:00,86250.0,86309.74,86234.23,86262.79,4.00043
2025-04-02 12:12:00,86262.79,86278.8,86262.79,86278.8,2.19193
2025-04-02 12:13:00,86280.67,86293.05,86272.59,86272.59,3.7504
2025-04-02 12:14:00,86268.21,86305.27,86266.53,86305.27,2.36172
2025-04-02 12:15:00,86306.38,86306.38,86284.17,86286.0,1.91633
2025-04-02 12:16:00,86286.0,86302.29,86281.88,86288.0,4.55853
2025-04-02 12:17:00,86288.0,86337.11,86284.3,86324.02,5.43097
2025-04-02 12:18:00,86319.58,86319.58,86239.45,86242.0,2.33836
2025-04-02 12:19:00,86242.0,86242.0,86230.08,86230.08,1.23338
2025-04-02 12:20:00,86231.34,86273.43,86222.38,86273.43,4.12993
2025-04-02 12:21:00,86241.4,86241.4,86238.19,86238.19,1.45156
2025-04-02 12:22:00,86240.52,86378.59,86198.77,86238.83,3.7508
2025-04-02 12:23:00,86238.72,86286.8,86195.75,86286.8,4.8686
2025-04-02 12:24:00,86289.5,86345.91,86289.5,86345.91,2.38658
2025-04-02 12:25:00,86345.17,86348.44,86290.6,86291.43,2.59779
2025-04-02 12:26:00,86289.63,86293.41,86232.86,86284.75,2.96524
2025-04-02 12:27:00,86291.48,86305.45,86291.48,86305.45,2.4801
2025-04-02 12:28:00,86307.18,86325.04,86096.87,86323.72,5.56833
2025-04-02 12:29:00,86323.72,86414.34,33000.0,86369.73,3.84361
2025-04-02 12:30:00,86368.02,86368.02,86248.38,86248.38,1.57388
2025-04-02 12:31:00,86240.22,86356.94,86240.22,86356.94,3.45252
2025-04-02 12:32:00,86356.52,86364.0,86352.0,86364.0,1.51236
2025-04-02 12:33:00,86364.0,86409.99,86352.0,86398.57,2.10057
2025-04-02 12:34:00,86399.67,86425.77,86383.98,86425.77,5.04007
2025-04-02 12:35:00,86436.35,86436.35,86359.56,86359.56,1.69624
2025-04-02 12:36:00,86357.45,86443.16,86357.45,86443.16,4.47838
2025-04-02 12:37:00,86427.16,86482.0,85909.26,86482.0,4.61581
2025-04-02 12:38:00,86482.32,86482.32,86446.4,86448.02,2.97162
2025-04-02 12:39:00,86443.76,86443.76,86443.0,86443.0,0.10411
2025-04-02 12:40:00,86400.83,86407.99,86400.01,86407.99,3.51321
2025-04-02 12:41:00,86407.99,86420.41,86390.56,86390.56,3.1851
2025-04-02 12:42:00,86390.01,86398.27,86363.32,86393.03,3.0836
2025-04-02 12:43:00,86393.03,86433.85,86362.32,86362.32,4.08372
2025-04-02 12:44:00,86431.97,86431.97,85862.27,86406.02,2.20088
2025-04-02 12:45:00,86406.0,86470.0,86405.99,86470.0,4.64778
2025-04-02 12:46:00,86472.0,86502.0,86471.99,86502.0,4.60947
2025-04-02 12:47:00,86506.04,86593.56,86477.8,86477.8,1.39293
2025-04-02 12:48:00,86477.8,86478.84,86448.18,86448.32,3.08318
2025-04-02 12:49:00,86448.32,86461.99,86345.42,86416.01,3.93941
2025-04-02 12:50:00,86416.0,86417.37,86360.55,86360.58,1.82568
2025-04-02 12:51:00,86361.08,86416.0,86006.99,86375.28,6.55684
2025-04-02 12:52:00,86410.2,86411.99,86395.32,86395.32,3.45384
2025-04-02 12:53:00,86383.8,86386.42,86372.0,86383.78,2.08154
2025-04-02 12:54:00,86361.83,86425.2,86355.56,86425.2,4.49949
2025-04-02 12:55:00,86425.49,86536.16,86395.9,86448.02,2.43356
2025-04-02 12:56:00,86489.96,86672.0,86478.01,86672.0,3.60985
2025-04-02 12:57:00,86669.16,86799.58,86474.36,86799.58,3.85516
2025-04-02 12:58:00,86799.58,86961.93,86210.69,86890.58,4.42566
2025-04-02 12:59:00,86890.58,86920.08,86878.31,86915.51,2.39209
2025-04-02 13:00:00,86915.51,86937.42,86865.49,86865.49,4.54326
2025-04-02 13:01:00,86866.59,86866.59,86737.9,86737.9,2.43153
2025-04-02 13:02:00,86737.9,86741.15,86218.65,86707.2,3.32723
2025-04-02 13:03:00,86727.3,86802.03,86706.64,86802.03,1.65928
2025-04-02 13:04:00,86790.57,86790.57,86714.0,86714.33,3.26125
2025-04-02 13:05:00,86714.0,86742.02,86702.0,86742.02,3.8227
2025-04-02 13:06:00,86742.01,86790.36,86741.27,86790.36,4.95096
2025-04-02 13:07:00,86792.5,86812.0,86792.5,86805.07,2.13952
2025-04-02 13:08:00,86805.21,86815.56,86805.21,86813.35,2.09642
2025-04-02 13:09:00,86813.35,86833.28,86732.08,86736.0,3.43122
2025-04-02 13:10:00,86734.86,86734.86,86237.72,86480.01,1.33971
2025-04-02 13:11:00,86480.02,86481.83,86287.02,86287.02,1.51976
2025-04-02 13:12:00,86287.02,86483.57,86278.59,86321.11,2.42874
2025-04-02 13:13:00,86312.49,86932.24,86188.06,86226.63,3.30807
2025-04-02 13:14:00,86952.88,99500.0,86186.05,87152.68,3.63927
2025-04-02 13:15:00,86875.21,87845.78,86629.69,87538.47,1.2882
2025-04-02 13:16:00,87538.47,87634.34,86376.27,87543.82,3.97449
2025-04-02 13:17:00,87543.82,87673.96,86376.27,87651.65,4.27961
